交易日期,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段
2019/6/4,TXO,201906,10200,賣權,49.5,62,45,55,7076,55,19630,54,56,980,18.5,,一般
2019/6/4,TXO,201906,10200,賣權,50,59,41.5,49.5,2215,-,-,49.5,51,980,18.5,,盤後
2019/6/4,TXO,201906,10300,買權,240,246,190,197,1110,197,3107,195,198,670,104,,一般
2019/6/4,TXO,201906,10300,買權,243,258,210,217,568,-,-,222,230,670,104,,盤後
2019/6/4,TXO,201906,10300,賣權,70,88,64,79,8509,79,17786,79,80,210,22,,一般
2019/6/4,TXO,201906,10300,賣權,70,82,60,70,2481,-,-,70,74,210,22,,盤後
2019/6/4,TXO,201906,10400,買權,166,174,125,132,3554,132,6647,131,133,770,69,,一般
2019/6/4,TXO,201906,10400,買權,170,185,146,160,1139,-,-,156,160,770,69,,盤後
2019/6/4,TXO,201906,10400,賣權,105,124,91,114,8317,114,10625,114,116,1130,22,,一般
2019/6/4,TXO,201906,10400,賣權,97,120,86,104,2220,-,-,103,104,1130,22,,盤後
2019/6/4,TXO,201906,10500,買權,101,113,75,82,7313,82,13460,81,82,660,40,,一般
2019/6/4,TXO,201906,10500,買權,113,124,95,106,3446,-,-,106,108,660,40,,盤後
2019/6/4,TXO,201906,10500,賣權,142,175,130,163,2566,163,13709,163,165,322,34.5,,一般
2019/6/4,TXO,201906,10500,賣權,138,168,123,152,2020,-,-,139,149,322,34.5,,盤後
2019/6/4,TXO,201906,10600,買權,59,67,40.5,45.5,11830,45.5,22251,45,45.5,645,24.5,,一般
2019/6/4,TXO,201906,10600,買權,67,76,57,65,3316,-,-,63,66,645,24.5,,盤後
2019/6/4,TXO,201906,10600,賣權,204,238,187,225,674,225,5441,227,229,1320,44,,一般
2019/6/4,TXO,201906,10600,賣權,192,229,176,218,637,-,-,189,218,1320,44,,盤後
2019/6/4,TXO,201906,10700,買權,31.5,36,20,22.5,10462,22.5,20984,22.5,23.5,467,13.5,,一般
2019/6/4,TXO,201906,10700,買權,36,43,31.5,35,3131,-,-,35,36,467,13.5,,盤後
2019/6/4,TXO,201906,10700,賣權,269,317,255,310,180,310,5167,305,308,482,56,,一般
2019/6/4,TXO,201906,10700,賣權,272,300,243,300,163,-,-,220,300,482,56,,盤後
2019/6/4,TXO,201906,10800,買權,18.5,18.5,9.6,10.5,4704,10.5,20636,10.5,11.5,535,8.1,,一般
2019/6/4,TXO,201906,10800,買權,18.5,22.5,16,19,1056,-,-,18.5,19,535,8.1,,盤後
2019/6/4,TXO,201906,10800,賣權,360,401,346,401,63,394,5300,393,396,1580,70,,一般
2019/6/4,TXO,201906,10800,賣權,342,359,325,341,74,-,-,325,-,1580,70,,盤後
2019/6/4,TXO,201906,10900,買權,8,8.9,4.5,5.8,2631,5.8,16255,5.7,5.8,315,4.5,,一般
2019/6/4,TXO,201906,10900,買權,8.9,11.5,8.1,9.3,444,-,-,9.3,10,315,4.9,,盤後
2019/6/4,TXO,201906,10900,賣權,463,492,463,491,12,491,10763,488,491,675,93,,一般
2019/6/4,TXO,201906,10900,賣權,445,475,418,475,45,-,-,296,490,675,93,,盤後
2019/6/4,TXO,201906,11000,買權,4.3,4.5,2.9,3.4,938,3.4,12783,2.9,3.6,430,2.9,,一般
2019/6/4,TXO,201906,11000,買權,4.5,6,4.3,4.3,417,-,-,4.5,5.3,430,3.2,,盤後
2019/6/4,TXO,201906,11000,賣權,535,595,535,590,6,590,1199,575,590,1440,123,,一般
2019/6/4,TXO,201906,11000,賣權,510,555,510,555,4,-,-,433,-,1440,123,,盤後
2019/6/4,TXO,201906,11100,買權,2.5,2.6,2,2.1,845,2.1,12636,1.9,2.2,193,2,,一般
2019/6/4,TXO,201906,11100,買權,2.5,3.9,2.4,2.4,57,-,-,2.4,3.3,193,2.1,,盤後
2019/6/4,TXO,201906,11100,賣權,690,690,690,690,1,690,763,675,690,820,160,,一般
2019/6/4,TXO,201906,11100,賣權,610,645,610,645,21,-,-,550,-,820,160,,盤後
2019/6/4,TXO,201906,11200,買權,1.7,2,1.5,1.6,566,1.6,10019,1.5,1.8,333,1.3,,一般
2019/6/4,TXO,201906,11200,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2019/6/4,TXO,201906,11200,賣權,735,765,730,765,11,785,320,775,795,1740,209,,一般
2019/6/4,TXO,201906,11200,賣權,705,725,705,725,5,-,-,422,-,1740,209,,盤後
2019/6/4,TXO,201906,11300,買權,1.5,1.5,1.2,1.2,60,1.2,7193,1.2,2,96,1.2,,一般
2019/6/4,TXO,201906,11300,買權,2,2,2,2,11,-,-,1.1,1.9,96,1.3,,盤後
2019/6/4,TXO,201906,11300,賣權,880,880,880,880,4,880,1303,870,890,1000,266,,一般
2019/6/4,TXO,201906,11300,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2019/6/4,TXO,201906,11400,買權,0.8,0.8,0.8,0.8,5,1.1,12416,1,1.2,257,0.8,,一般
2019/6/4,TXO,201906,11400,買權,1.1,1.1,1.1,1.1,1,-,-,0.8,1.8,257,0.8,,盤後
2019/6/4,TXO,201906,11400,賣權,980,980,980,980,2,980,1138,970,995,2020,338,,一般
2019/6/4,TXO,201906,11400,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2019/6/4,TXO,201906,11500,買權,0.9,0.9,0.7,0.7,175,1,10871,0.8,3,45,0.6,,一般
2019/6/4,TXO,201906,11500,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2019/6/4,TXO,201906,11500,賣權,-,-,-,-,0,1080,1498,-,-,-,-,,一般
